a52dec 0.7.4-9
kxmlrpcclient 5.41.0-1
lame 3.100-1
lcms 1.19-5
lcms2 2.8-2
ldns 1.7.0-4
leiningen 2.7.1-1
less 487-1
lib32-atk 2.26.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.15.8-1
lib32-curl 7.57.0-1
lib32-dbus 1.12.2-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-fontconfig 2.12.6+5+g665584a-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.2.1-2
lib32-gdk-pixbuf2 2.36.6-1
lib32-glib2 2.54.2-2
lib32-glibc 2.26-8
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.7.1-1
lib32-icu 60.1-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.16-1
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libcurl-compat 7.57.0-1
lib32-libdatrie 0.2.10-1
lib32-libdrm 2.4.88-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.2-2
lib32-libldap 2.4.44-2
lib32-libpciaccess 0.14-1
lib32-libpng 1.6.34-1
lib32-libpsl 0.18.0-2
lib32-libsm 1.2.2-2
lib32-libssh2 1.8.0-2
lib32-libtasn1 4.12-1
lib32-libthai 0.1.26-1
lib32-libtiff 4.0.8-1
lib32-libtinfo 6-9
lib32-libtxc_dxtn 1.0.1-5
lib32-libvdpau 1.1.1-2
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.15-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.9-1
lib32-libxinerama 1.1.3-2
lib32-libxml2 2.9.4+16+g07418011-2
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxt 1.1.5-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm 5.0.0-1
lib32-llvm-libs 5.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 17.2.6-1
lib32-ncurses 6.0+20170902-1
lib32-nettle 3.3-1
lib32-openssl 1:1.1.0.g-1
lib32-p11-kit 0.23.9-1
lib32-pango 1.40.6+9+g92cc73c8-1
lib32-pcre 8.40-1
lib32-pixman 0.34.0-1
lib32-readline 7.0.003-1
lib32-systemd 235.38-1
lib32-util-linux 2.31-1
lib32-wayland 1.14.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.1-2
libaio 0.3.110-1
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.8-1
libavc1394 0.5.4-3
libblockdev 2.14-2
libbluray 1.0.1-1
libbytesize 1.0-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcdr 0.1.4-2
libclc 0.2.0+374+0c31bd5-1
libcmis 0.5.1-7
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.6-1
libcurl-compat 7.57.0-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdca 0.0.5-5
libdmtx 0.7.4-6
libdrm 2.4.88-1
libdvbpsi 1:1.3.1-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-8
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libetonyek 0.1.7-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfbclient 2.5.7.27050-4
libffi 3.2.1-2
libfontenc 1.1.3-1
libfreehand 0.1.2-1
libgcrypt 1.8.1-1
libgit2 1:0.26.0-1
libglade 2.6.4-5
libglvnd 1.0.0-1
libgpg-error 1.27-1
libgudev 232-1
libgusb 0.2.11-1
libgxps 0.3.0-1
libical 3.0.1-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libidn2 2.0.4-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0+66+g5a85432-1
libinput 1.9.3-1
libixion 0.12.2-3
libjpeg-turbo 1.5.2-2
libkate 0.4.1-5
libkdcraw 17.08.3-1
libkexiv2 17.08.3-1
libkeybinder2 0.3.1-1
libkipi 17.08.3-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.45-4
liblqr 0.4.2-1
libmad 0.15.1b-7
libmagick 7.0.7.14-1
libmatroska 1.4.8-1
libmbim 1.14.2-1
libmm-glib 1.6.10-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-8
libmwaw 0.3.13-1
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.0.7-1
libnghttp2 1.28.0-1
libnl 3.4.0-1
libnm 1.10.2-1
libnm-glib 1.10.2-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libogg 1.3.3-2
libomxil-bellagio 0.9.3-1
liborcus 0.12.1-3
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-2
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.18.0-2
libpulse 11.1-1
libpwquality 1.4.0-1
libqalculate 2.2.0-1
libqmi 1.18.0-1
libraqm 0.3.0-2
libraw 0.18.6-1
libraw1394 2.1.2-1
libreoffice-fresh 5.4.3-4
librevenge 0.0.4-1
librsvg 2:2.40.19-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.15-1
libsoup 2.60.2-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.5-1
libstemmer 0+337-2
libsystemd 235.38-4
libtar 1.2.20-3
libtasn1 4.12-2
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-3
libtiff 4.0.9-1
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-2
libtxc_dxtn 1.0.1-6
libunicodenames 1.2.0-1
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.22-1
libusb 1.0.21-2
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-2
libutil-linux 2.31-2
libuv 1.18.0-1
libva 2.0.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-2
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.26-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.8-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.15-1
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.3-1
libxfont2 2.0.3-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxkbui 1.0.2-5
libxml2 2.9.7+4+g72182550-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.2-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.3.0-1
libzmf 0.0.2-2
licenses 20171006-1
linux 4.14.5-1
linux-api-headers 4.12.7-1
linux-firmware 20171206.fdee922-1
lld 5.0.0-1
llvm 5.0.0-1
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
lmdb 0.9.21-1
logrotate 3.12.3-1
love 0.10.2-1
lpsolve 5.5.2.5-2
lsb-release 1.4-14
lua 5.3.4-2
luajit 2.0.5-1
lvm2 2.02.176-1
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
mdadm 4.0-1
media-player-info 22-2
mercurial 4.4.1-1
mesa 17.1.6-1
minizip 1:1.2.11-2
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mobile-broadband-provider-info 20170310-1
modemmanager 1.6.10-1
modemmanager-qt 5.41.0-1
mongodb 3.4.9-1
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
mpg123 1.25.7-1
mtdev 1.1.5-1
nano 2.9.1-1
ncurses 6.0+20170902-3
ncurses5-compat-libs 6.0+20170902-1
neon 0.30.2-2
netctl 1.14-1
nettle 3.4-1
networkmanager 1.10.2-1
networkmanager-qt 5.41.0-1
nodejs 9.3.0-1
nodejs-grunt-purescript 0.6.0-1
noto-fonts 20171025-2
npm 5.6.0-1
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
ocaml 4.05.0-1
ocaml-ctypes 0.11.5-1
ocaml-findlib 1.7.3-1
ocl-icd 2.2.11-1
openal 1.18.2-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.9-1
package-query 1.9-1
pacman 5.0.2-2
pacman-mirrorlist 20171203-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-ipc-system-simple 1.25-3
perl-locale-gettext 1.07-5
phonon-qt4 4.9.1-4
phonon-qt4-gstreamer 4.9.0-3
phonon-qt5 4.9.1-4
phonon-qt5-gstreamer 4.9.0-3
physfs 3.0.0-2
pinentry 1.1.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
plasma-framework 5.41.0-1
polkit 0.113+29+g3272a98-1
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.61.1-1
poppler-data 0.4.8-1
poppler-glib 0.61.1-1
poppler-qt5 0.61.1-1
popt 1.16-9
postgresql 10.1-1
postgresql-libs 10.1-1
ppp 2.4.7-4
presentproto 1.1-1
prison 5.41.0-1
procps-ng 3.3.12-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-gconf 11.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
python 3.6.3-1
python-appdirs 1.4.3-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-packaging 16.8-2
python-pip 9.0.1-3
python-pyparsing 2.2.0-1
python-setuptools 1:38.2.4-1
python-six 1.11.0-1
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-babel 2.5.1-1
python2-beaker 1.8.1-2
python2-cairo 1.15.4-1
python2-chardet 3.0.4-1
python2-dbus 1.2.4-2
python2-docutils 0.14-1
python2-gconf 2.28.1-10
python2-gobject2 2.28.7-1
python2-idna 2.6-1
python2-imagesize 0.7.1-2
python2-jinja 2.10-1
python2-keybinder2 0.3.1-1
python2-mako 1.0.7-1
python2-markupsafe 1.0-1
python2-notify 0.1.1-13
python2-packaging 16.8-2
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pytz 2017.3-1
python2-requests 2.18.4-1
python2-setuptools 1:38.2.4-1
python2-six 1.11.0-1
python2-snowballstemmer 1.2.1-2
python2-sphinx 1.6.5-2
python2-sphinx-alabaster-theme 0.7.10-1
python2-sphinx_rtd_theme 0.2.4-1
python2-sphinxcontrib-websupport 1.0.1-1
python2-sqlalchemy 1.1.15-1
python2-typing 3.6.1-1
python2-urllib3 1.22-1
python2-whoosh 2.7.4-2
python2-xdg 0.25-4
qca-qt5 2.1.3-5
qqc2-desktop-style 5.41.0-1
qrencode 4.0.0-1
qt4 4.8.7-23
qt5-base 5.10.0-1
qt5-declarative 5.10.0-1
qt5-graphicaleffects 5.10.0-1
qt5-location 5.10.0-1
qt5-multimedia 5.10.0-1
qt5-quickcontrols 5.10.0-1
qt5-quickcontrols2 5.10.0-1
qt5-script 5.10.0-1
qt5-sensors 5.10.0-1
qt5-speech 5.10.0-1
qt5-svg 5.10.0-1
qt5-tools 5.10.0-1
qt5-webchannel 5.10.0-1
qt5-webkit 5.212.0alpha2-11
qt5-websockets 5.10.0-1
qt5-x11extras 5.10.0-1
qt5-xmlpatterns 5.10.0-1
qterminal 0.8.0-1
qtermwidget 0.8.0-1
rabbitmq 3.6.14-1
racket 6.11-1
randrproto 1.5.0-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
rbenv 1.1.1-1
re2 20171201-1
readline 7.0.003-1
recordproto 1.14.2-2
redis 4.0.6-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
renderproto 0.11.1-3
rest 0.8.1-1
rhash 1.3.5-2
robo3t-bin 1.1.1-1
rtkit 0.11+8+ge0a51fe-1
